Issue Date          2013-03-16T00:00:00Z
Flags:  0=Forecast, 1=Estimated, 2=Observed 

 Date_Time                   F10          Kp     F10Flag      KpFlag  F10_81dAvg   24HrKpAvg    NHemiPow NHemiPowIdx    SHemiPow SHemiPowIdx       SW_Bt    SW_Angle SW_Velocity       SW_Bz   
2013-03-16T01:20:00Z 123.0916667   3.1722222           2           1 111.4803841   1.6725000  15.4153846           5  15.4153846           5   2.2936608 186.1335134 440.3073000  -2.2805310
2013-03-16T01:21:00Z 123.0937500   3.1850000           2           1 111.4804938   1.6727778  15.3846154           5  15.3846154           5   2.2762887 212.4373776 433.9980000  -1.9211380
2013-03-16T01:22:00Z 123.0958333   3.1977778           2           1 111.4806036   1.6730556  15.3538462           5  15.3538462           5   2.5294039 211.3535221 422.6426000  -2.1600430
2013-03-16T01:23:00Z 123.0979167   3.2105556           2           1 111.4807133   1.6733333  15.3230769           5  15.3230769           5   2.1152145 195.4090292 416.1417000  -2.0391800
2013-03-16T01:24:00Z 123.1000000   3.2233333           2           1 111.4808230   1.6736111  15.2923077           5  15.2923077           5   3.5667967 140.8776488 423.1031000  -2.7671220
2013-03-16T01:25:00Z 123.1020833   3.2361111           2           1 111.4809328   1.6738889  15.2615385           5  15.2615385           5   3.9813112 126.0307264 439.9931000  -2.3418830
2013-03-16T01:26:00Z 123.1041667   3.2488889           2           1 111.4810425   1.6741667  15.2307692           5  15.2307692           5   3.1242702 131.0144677 440.0082000  -2.0503010
2013-03-16T01:27:00Z 123.1062500   3.2616667           2           1 111.4811523   1.6744445  15.6000000           6  15.6000000           6   2.9457974 143.0223570 447.1088000  -2.3533100
2013-03-16T01:28:00Z 123.1083333   3.2744444           2           1 111.4812620   1.6747222  26.8500000           6  26.8500000           6   3.3893046 146.6339284 432.4962000  -2.8306580
2013-03-16T01:29:00Z 123.1104167   3.2872222           2           1 111.4813717   1.6750000  23.1000000           6  23.1000000           6   3.1987187 147.4202434 412.7845000  -2.6953770
2013-03-16T01:30:00Z 123.1125000   3.3000000           2           1 111.4814815   1.6752778  19.3500000           6  19.3500000           6   3.3211614 144.5402148 415.5922000  -2.7051620
2013-03-16T01:31:00Z 123.1145833   3.3022222           2           1 111.4815912   1.6755556  30.6000000           7  30.6000000           7   3.3063668 139.1740623 428.4823000  -2.5019250
2013-03-16T01:32:00Z 123.1166667   3.3044444           2           1 111.4817010   1.6758333  19.5000000           6  19.5000000           6   3.1845687 139.0275541 431.2392000  -2.4044290
2013-03-16T01:33:00Z 123.1187500   3.3066667           2           1 111.4818107   1.6761111  11.0238095           5  11.0238095           5   2.9892414 138.2261548 437.0160000  -2.2293170
2013-03-16T01:34:00Z 123.1208333   3.3088889           2           1 111.4819204   1.6763889  11.4476190           5  11.4476190           5   3.4053174 136.2839380 435.6936000  -2.4612730
2013-03-16T01:35:00Z 123.1229167   3.3111111           2           1 111.4820302   1.6766667  11.8714286           5  11.8714286           5   3.7675580 132.6836573 434.0984000  -2.5542160
2013-03-16T01:36:00Z 123.1250000   3.3133333           2           1 111.4821399   1.6769445  12.2952381           5  12.2952381           5   4.3523198 113.3254938 426.0746000  -1.7233190
2013-03-16T01:37:00Z 123.1270833   3.3155556           2           1 111.4822497   1.6772222  12.7190476           5  12.7190476           5   3.4664437 157.1021938 429.9177000  -3.1932890
2013-03-16T01:38:00Z 123.1291667   3.3177778           2           1 111.4823594   1.6775000  13.1428571           5  13.1428571           5   3.5035473 152.3433246 444.0071000  -3.1032490
2013-03-16T01:39:00Z 123.1312500   3.3200000           2           1 111.4824691   1.6777778  13.5666667           5  13.5666667           5   3.2331251 158.2824236 449.9817000  -3.0036350
2013-03-16T01:40:00Z 123.1333333   3.3222222           2           1 111.4825789   1.6780556  13.9904762           5  13.9904762           5   3.2284756 132.3624296 448.8378000  -2.1754050
2013-03-16T01:41:00Z 123.1354167   3.3244444           2           1 111.4826886   1.6783334  14.4142857           5  14.4142857           5   3.5616311 152.2170056 437.8235000  -3.1510440
2013-03-16T01:42:00Z 123.1375000   3.3266667           2           1 111.4827984   1.6786111  14.8380952           5  14.8380952           5   3.2331076 165.8813496 429.2118000  -3.1354440
2013-03-16T01:43:00Z 123.1395833   3.3288889           2           1 111.4829081   1.6788889  15.2619048           5  15.2619048           5   2.9574673 155.1614050 437.6212000  -2.6838860
2013-03-16T01:44:00Z 123.1416667   3.3311111           2           1 111.4830178   1.6791667  15.6857143           5  15.6857143           5   4.4208505 151.5589669 440.9347000  -3.8872880
2013-03-16T01:45:00Z 123.1437500   3.3333333           2           1 111.4831276   1.6794445  16.1095238           5  16.1095238           5   4.0473415 151.8385176 439.1872000  -3.5682210
2013-03-16T01:46:00Z 123.1458333   3.3355556           2           1 111.4832373   1.6797222  16.5333333           5  16.5333333           5   3.8552700 137.0590001 425.2581000  -2.8222720
2013-03-16T01:47:00Z 123.1479167   3.3377778           2           1 111.4833471   1.6800000  16.9571429           5  16.9571429           5   5.0570159 159.8201175 447.1191000  -4.7465870
2013-03-16T01:48:00Z 123.1500000   3.3400000           2           1 111.4834568   1.6802778  17.3809524           5  17.3809524           5   4.6453591 155.1797069 462.5921000  -4.2162620
